"Country.Name","Program.Name","FY2000","FY2001","FY2002","FY2003","FY2004","FY2005","FY2006","FY2007","FY2008","FY2009"
"Angola","Other USAID Assistance",NA,14250089,25816740,26511287,10777157,2907214,2194370,2701765,3269460,3378961
"Angola","Title I",12517719,12228816,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","Title II",74891132,44795622,93030093,128362001,80884695,33945028,3846572,NA,101916,NA
"Antigua and Barbuda","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,18028,NA,NA,NA
"Antigua and Barbuda","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,25277
"Argentina","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,188283,156659,NA,NA
"Argentina","Narcotics Control",NA,NA,NA,NA,118348,68710,NA,104440,3205,257947
"Argentina","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,139088,560727,52000,357276,NA
"Argentina","Other Active Grant Programs",1301878,2541883,533913,253367,1357279,187685,1224089,5860012,1739762,1657190
"Argentina","Other State Assistance",NA,NA,133695,519244,669399,637079,230805,2076305,714586,463395
"Argentina","Other USAID Assistance",NA,3846,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,10444,181230,NA
"Argentina","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Child Survival and Health",NA,NA,NA,NA,NA,NA,968314,NA,663658,NA
"Armenia","Department of Defense Security Assistance",NA,NA,NA,353537,1032959,274392,1720371,NA,NA,NA
"Armenia","Development Assistance",NA,NA,NA,NA,NA,834525,882241,856405,816810,806085
"Armenia","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,306304,438309
"Armenia","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,503803
"Armenia","Migration and Refugee Assistance",268866,715014,NA,NA,459603,111270,107590,NA,229728,403043
"Armenia","Millennium Challenge Corporation",NA,NA,NA,NA,NA,643305,84911621,1380242,152830007,2987173
"Armenia","Narcotics Control",NA,NA,NA,NA,2002950,2211650,NA,NA,1831369,3792286
"Armenia","Nonproliferation, Anti-Terrorism, Demining and Related",375532,1076136,2923409,294614,1756406,1282370,1191052,234150,1183709,NA
"Armenia","Other Active Grant Programs",506842,662549,NA,594867,946223,1122784,8096881,5860924,11647897,1707129
"Armenia","Other Food Aid Programs",21672336,7895145,NA,NA,NA,NA,276518,951596,4495056,NA
"Armenia","Other State Assistance",105618,547159,1000913,1036139,4206678,4347875,3822603,4304479,3945035,3593363
"Armenia","Other USAID Assistance",104078571,111888129,89753826,75387443,75032068,65344414,70000132,68355827,41217420,42306207
"Armenia","Other USDA Assistance",NA,NA,NA,8088894,NA,NA,NA,NA,NA,NA
"Armenia","Peace Corps",1748725,1490693,1704720,2005735,1843010,1339234,1402585,1450709,1372453,2246963
"Armenia","Title I",12517719,NA,NA,NA,NA,NA,NA,638576,NA,4066719
"Armenia","Title II",1616037,907256,1116309,4894018,4384962,1338578,NA,NA,NA,NA
"Asia (not specified)","Child Survival and Health",12744289,NA,NA,NA,NA,NA,30282350,13444147,1935501,58
"Asia (not specified)","Development Assistance",54000186,NA,NA,NA,NA,519179,17275470,13371115,43000884,34920199
"Asia (not specified)","Economic Support Fund/Security Support Assistance",39709671,697043,240610,2500936,1387320,5003111,6360555,4037605,16359765,13829303
"Asia (not specified)","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,611985,13073355,232398,19137,826
"Asia (not specified)","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,21071979,24341946
"Asia (not specified)","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Migration and Refugee Assistance",40139503,49887285,46067954,2822699,2962144,65979132,30694752,66479047,83387479,83889643
"Asia (not specified)","Narcotics Control",375532,244576,NA,NA,NA,31149,NA,104440,NA,NA
"Asia (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,170076,5430088,13162947,16280169,NA
"Asia (not specified)","Other Active Grant Programs",515219,826807,5163960,2586056,2268719,3964858,1691072,5065476,2697653,3125247
"Asia (not specified)","Other State Assistance",NA,NA,1597156,972202,1224587,1496732,2624570,2344336,2614995,3481218
"Asia (not specified)","Other USAID Assistance",NA,NA,5840,-474,NA,34694750,4393152,4397623,17010637,24074809
"Asia (not specified)","Other USDA Assistance",NA,NA,NA,NA,664127,496467,27974,32376,12252,151141
"Asia (not specified)","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Title II",NA,NA,NA,NA,NA,13609656,537952,NA,NA,NA
"Asia (not specified)","Voluntary Contributions to Multilateral Organizations, Total",113571086,87853773,117919312,NA,276702877,110379840,106514504,103395251,76110662,138104062
"Australia","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Other Active Grant Programs",NA,NA,NA,NA,NA,139890,214902,113077,265993,4506
"Australia","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Migration and Refugee Assistance",NA,460038,30076,NA,NA,NA,2093854,3611512,5135582,4577518
"Austria","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,6330281,4155258
"Austria","Other USAID Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Child Survival and Health",NA,672585,NA,NA,4825817,NA,2158835,2517570,1112904,249178
"Azerbaijan","Department of Defense Security Assistance",NA,NA,NA,648152,321722,1911619,1595566,NA,NA,NA
"Azerbaijan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,245043,503803
"Azerbaijan","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,620465,879033,720856,NA,1021013,NA
"Azerbaijan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,2504910
"Azerbaijan","Migration and Refugee Assistance",993172,1641828,479454,159092,590743,261290,402999,313319,869245,1432817
"Azerbaijan","Narcotics Control",NA,NA,NA,NA,1847341,618836,1208609,NA,108861,2046664
"Azerbaijan","Nonproliferation, Anti-Terrorism, Demining and Related",625886,1369627,2249702,1885533,1220143,3997405,2397859,1025479,3233661,2400862
"Azerbaijan","Other Active Grant Programs",954509,877740,1242092,1903999,3527311,4418537,15471172,11279520,9612519,14172992
"Azerbaijan","Other Food Aid Programs",5859128,1263901,NA,10101347,4474918,161119,NA,3578300,NA,NA
"Azerbaijan","Other State Assistance",276133,782339,1256334,1004032,4703267,4746229,4524951,7097735,5853740,4741015
"Azerbaijan","Other USAID Assistance",57038236,34048674,48762974,47440330,34687077,43721965,23919664,30028867,14824901,17212282
"Azerbaijan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,22671
"Azerbaijan","Peace Corps",NA,NA,NA,1502534,1523586,1188938,1486377,1553760,1381996,2206659
"Azerbaijan","Title I",NA,329460,NA,NA,6731329,NA,NA,NA,NA,NA
"Azerbaijan","Title II",3058579,3058060,2693627,3638842,3312018,1719789,2173541,NA,NA,NA
"Bahamas, The","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,102101,NA
"Bahamas, The","Narcotics Control",1251772,1467458,1443659,1296304,1184189,1184170,9375,501310,801972,139027
"Bahamas, The","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,816722,834244,42861,NA,NA
"Bahamas, The","Other Active Grant Programs",NA,NA,14016,41246,143626,NA,151040,1331536,5921876,3010427
"Bahamas, The","Other State Assistance",NA,NA,NA,NA,22980,17024,21518,20888,NA,NA
"Bahamas, The","Other USAID Assistance",NA,NA,601524,324828,453591,55635,63478,NA,NA,NA
"Bahamas, The","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,89016,NA,NA,NA,NA
"Bahrain","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,1656810,1055613,810106,NA,412488
"Bahrain","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,40841,5077
"Bahrain","Other State Assistance",33172,20178,70150,74243,NA,NA,134251,34465,494579,NA
"Bahrain","Other USAID Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Child Survival and Health",19152109,17969666,39635672,29653257,31712639,26539795,24563512,28804713,538954,NA
"Bangladesh","Department of Defense Security Assistance",NA,NA,NA,NA,NA,4288,NA,974,NA,NA
"Bangladesh","Development Assistance",39667398,37827652,25942927,29025444,21236002,17813887,11597170,12516074,30069453,23728203
"Bangladesh","Economic Support Fund/Security Support Assistance",NA,2544024,4108394,4943250,5660617,6676089,3522348,7831688,13146932,63503350
"Bangladesh","Food For Education",NA,NA,12488224,NA,NA,NA,NA,NA,7964,NA
"Bangladesh","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,32244075,34536435
"Bangladesh","Migration and Refugee Assistance",NA,195661,NA,NA,NA,NA,1075904,1444089,1061854,2766708
"Bangladesh","Narcotics Control",NA,171203,NA,NA,NA,NA,NA,NA,255253,199506
"Bangladesh","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,1641794,5182746,2859529,684136,1982842
"Bangladesh","Other Active Grant Programs",7907732,2016712,2038659,4187951,900918,1172204,1367921,624358,2502687,1854621
"Bangladesh","Other Food Aid Programs",NA,44122786,NA,67271,73847,453018,2078343,NA,NA,NA
"Bangladesh","Other State Assistance",NA,13095,108170,129586,130642,121260,181463,737235,653375,1838719
"Bangladesh","Other USAID Assistance",NA,5490880,5480178,4878143,4954665,5168873,3838638,3485755,11214365,9009472
"Bangladesh","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Peace Corps",1222981,1110377,698971,1470716,1799348,1435401,422367,NA,NA,NA
"Bangladesh","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Title II",29448183,85436014,30154302,45460548,38735266,27212191,32501986,37187512,80690864,32747921
"Barbados","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,100761
"Barbados","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,268976,NA,NA,NA
"Barbados","Narcotics Control",859967,1222882,NA,NA,433936,1204412,1836590,152251,48406,NA
"Barbados","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,106819,481419,43521,NA,NA
"Barbados","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,93483,69975,128262,32511
"Barbados","Other USAID Assistance",NA,255121,268825,503278,468796,487956,478839,72728,NA,37524
"Barbados","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Child Survival and Health",NA,NA,NA,NA,NA,810487,1460158,626638,NA,NA
"Belarus","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,97
"Belarus","Development Assistance",NA,NA,NA,117846,NA,333810,NA,NA,NA,NA
"Belarus","Economic Support Fund/Security Support Assistance",751063,611441,NA,NA,344703,305993,NA,NA,306304,NA
"Belarus","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,150627,104438,NA,NA
"Belarus","Nonproliferation, Anti-Terrorism, Demining and Related",NA,36686,NA,NA,NA,1780320,215181,NA,NA,NA
"Belarus","Other Active Grant Programs",NA,NA,NA,NA,719032,NA,NA,NA,NA,1690764
"Belarus","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Other State Assistance",NA,566194,522123,565660,2808177,2626227,2244336,5232613,5366398,7178154
"Belarus","Other USAID Assistance",10787770,16850276,8788561,10388013,3068701,10723581,12283998,10011141,7861620,8176933
"Belarus","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Title II",NA,NA,NA,NA,NA,NA,NA,1385042,NA,NA
"Belgium","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Migration and Refugee Assistance",NA,NA,NA,NA,303223,111270,NA,NA,NA,NA
"Belgium","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,NA,NA,2042,NA
"Belgium","Narcotics Control",425602,404774,NA,NA,210592,618661,NA,229767,346736,232455
"Belgium","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,33211808,23891705,11459626
"Belgium","Other USAID Assistance",NA,NA,NA,NA,NA,NA,NA,61000,618888,369439
"Belgium","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,187762
"Belize","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,18033
"Belize","Narcotics Control",500709,50138,NA,NA,272439,259213,278094,200853,117382,NA
"Belize","Other Active Grant Programs",NA,NA,153252,160785,143626,327530,118938,22,NA,24385
"Belize","Other State Assistance",NA,NA,NA,28283,NA,51014,58465,57442,NA,115169
"Belize","Other USAID Assistance",NA,500256,355501,-2719,NA,NA,1509,117286,187892,60456
"Belize","Other USDA Assistance",NA,NA,NA,5752,NA,NA,NA,NA,NA,NA
"Belize","Peace Corps",1598513,1707143,1761264,1865499,1854500,1511508,1598788,1896822,1685066,2236887
"Belize","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Child Survival and Health",12590321,17212372,9087328,7822604,8701659,9290268,8506098,10360550,NA,NA
"Benin","Department of Defense Security Assistance",NA,NA,NA,NA,NA,173553,176597,303582,31953,25190
"Benin","Development Assistance",4786776,4484935,11490963,11769813,10238667,7892789,5115915,4632943,6248599,7214926
"Benin","Economic Support Fund/Security Support Assistance",438120,NA,421067,412460,NA,365475,1210392,626638,2246229,1843920
"Benin","Food For Education",NA,1763409,NA,497809,NA,NA,297122,400020,NA,NA
"Benin","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,2469
"Benin","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,22450035,23913468
"Benin","Migration and Refugee Assistance",NA,177318,NA,NA,NA,NA,242078,NA,NA,NA
"Benin","Millennium Challenge Corporation",NA,NA,NA,NA,NA,962519,2144904,229578159,51836710,15421528
"Benin","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Other Active Grant Programs",859122,NA,1388932,3248170,2231023,1586576,290581,11324,1771528,3399755
"Benin","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Other State Assistance",NA,14675,30491,23569,20682,14165,21518,17755,20114,NA
"Benin","Other USAID Assistance",NA,3513032,2851934,2384048,2845021,2579575,2241259,1817474,1830408,2473936
"Benin","Peace Corps",2468494,2277006,2742952,3310288,3012701,2458356,2537264,2644103,3088786,4000198
"Benin","Title II",4798292,5465180,6152874,6323723,6052518,2891685,1711441,NA,NA,NA
"Bhutan","Food For Education",NA,695823,320245,902915,NA,NA,NA,NA,NA,NA
"Bhutan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,87148,NA,51051,68024
"Bhutan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Child Survival and Health",9492186,8680014,22927707,21294842,16396725,15326452,18054330,17429889,153152,564260
"Bolivia","Development Assistance",31777480,31193561,16041911,14339235,14341926,12721757,13407596,16389091,29073474,29663402
"Bolivia","Economic Support Fund/Security Support Assistance",20028350,100271403,28150285,14701823,10154939,9101598,9726705,8756380,16699061,183064
"Bolivia","Food For Education",NA,9206608,NA,5998945,960903,1786691,3527758,NA,NA,NA
"Bolivia","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,16137140,16669549
"Bolivia","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Millennium Challenge Corporation",NA,NA,NA,NA,NA,18649,7897,12245,54602,212
"Bolivia","Narcotics Control",197779953,55518826,112605384,106917955,107411120,101850569,154928545,102216299,35499950,36017060
"Bolivia","Other Active Grant Programs",15582,3858986,5049028,1742964,943230,1872172,1088161,5267712,1154702,1543493
"Bolivia","Other Food Aid Programs",NA,NA,NA,19237047,NA,NA,1209232,6786805,9616151,NA
"Bolivia","Other State Assistance",NA,17078,NA,104677,170829,317461,739793,1655718,1191418,2237797
"Bolivia","Other USAID Assistance",NA,6329221,5901464,5501171,11631082,9353324,9061627,5350965,8196207,6531894
"Bolivia","Other USDA Assistance",NA,NA,NA,16086,1149,NA,NA,NA,NA,78593
"Bolivia","Peace Corps",3586326,3576929,3515309,3504734,3297655,2548305,2552346,2508471,2448148,665020
"Bolivia","Title I",NA,NA,NA,7092078,7784425,2436067,4928165,NA,NA,6741120
"Bolivia","Title II",28577701,20997000,24793035,37727506,26270360,17026980,17142810,20934718,9274219,NA
"Bosnia & Herzegovina","Child Survival and Health",NA,NA,NA,NA,NA,NA,215181,NA,NA,NA
"Bosnia & Herzegovina","Department of Defense Security Assistance",NA,NA,NA,NA,NA,904625,1525632,NA,NA,NA
"Bosnia & Herzegovina","Development Assistance",NA,NA,842134,NA,NA,NA,NA,NA,NA,36875
"Bosnia & Herzegovina","Economic Support Fund/Security Support Assistance",17149274,NA,NA,-1985702,NA,NA,NA,NA,599829,110029
"Bosnia & Herzegovina","Food For Education",NA,5898786,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Migration and Refugee Assistance",13864269,8227315,2767798,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,6251298
"Bosnia & Herzegovina","Nonproliferation, Anti-Terrorism, Demining and Related",6884745,6311292,6195702,3488236,5807090,6073118,5718782,4121532,5507941,4749119
"Bosnia & Herzegovina","Other Active Grant Programs",994737,1601653,612322,666889,1928725,556350,2043280,1758545,1287921,3442298
"Bosnia & Herzegovina","Other Food Aid Programs",22270941,28409530,NA,11654709,9795025,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Other State Assistance",83088,102360,186729,207367,2473689,1756536,1242676,3081736,2671117,3553788
"Bosnia & Herzegovina","Other USAID Assistance",94170796,107941295,61755470,60794385,44195971,34514954,36931939,27085230,24668722,24893662
"Bosnia & Herzegovina","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Title I",6070446,6221410,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Child Survival and Health",NA,NA,NA,NA,1697647,NA,0,15792,NA,NA
"Botswana","Department of Defense Security Assistance",NA,NA,NA,NA,NA,4765,NA,NA,NA,NA
"Botswana","Development Assistance",NA,178558,159270,133743,134032,140200,145247,NA,102101,52301
"Botswana","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,48258,27818,NA,NA,NA,NA
"Botswana","Global HIV/AIDS Initiative",NA,NA,NA,NA,9810007,33704916,34894925,49762057,10951900,1287333
"Botswana","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,50179045,80015347
"Botswana","Narcotics Control",NA,NA,NA,NA,234053,NA,NA,246046,276900,2553530
"Botswana","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,17138,NA,NA
"Botswana","Other Active Grant Programs",531410,34610,806275,14389118,9936108,10363150,9645701,8456318,10206276,10422922
"Botswana","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Other State Assistance",NA,33018,NA,NA,22980,30239,NA,NA,20420,54512
"Botswana","Other USAID Assistance",NA,104,61500,NA,NA,NA,NA,163402912,141608944,7562084
"Botswana","Peace Corps",NA,NA,258656,1456574,1643082,1120771,1126077,1110223,1252176,1501334
"Botswana","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Child Survival and Health",5194853,9880884,10743227,12397378,10663054,3733532,3986335,3363035,1542716,NA
"Brazil","Development Assistance",10642564,9052067,7078106,10060497,10267771,11139240,9376628,8264342,11398064,20735265
"Brazil","Economic Support Fund/Security Support Assistance",NA,NA,NA,403457,1096154,7503161,215181,182769,670499,NA
"Brazil","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,423780,NA,124432,NA,NA
