"Country.Name","Program.Name","FY1990","FY1991","FY1992","FY1993","FY1994","FY1995","FY1996","FY1997","FY1998","FY1999"
"Albania","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,323347,319118
"Albania","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,1563057,4318302
"Albania","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,2506485,2278501
"Albania","Other Food Aid Programs",NA,NA,22723543,10810828,NA,NA,NA,NA,NA,3464317
"Albania","Other State Assistance",NA,190527,145645,NA,62802,180099,105388,NA,61753,61009
"Albania","Other USAID Assistance",NA,NA,NA,26938,13884,40728301,26898475,6598920,40228186,49441561
"Albania","Peace Corps",NA,NA,924593,1156936,1580051,1638323,1660647,717786,NA,NA
"Albania","Title I",NA,NA,39853152,65431175,20954477,6798009,7544989,NA,12013329,NA
"Albania","Title II",NA,NA,681272,3518446,NA,NA,NA,2892365,785732,NA
"Algeria","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,733350,401450
"Algeria","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Other State Assistance",NA,NA,NA,NA,NA,NA,96838,65491,67256,66377
"Algeria","Other USAID Assistance",NA,NA,3824453,NA,NA,NA,NA,NA,NA,NA
"Algeria","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","Title II",NA,NA,NA,NA,NA,NA,NA,NA,936670,NA
"Angola","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,5003767
"Angola","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,12891082
"Angola","Economic Support Fund/Security Support Assistance",NA,NA,6447515,NA,NA,NA,NA,6549147,6851066,897870
"Angola","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,1333853,1637811,5470104,4633591
"Angola","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,1309829,3104126,NA
"Angola","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,2094400
"Angola","Other Food Aid Programs",NA,NA,2840443,42664843,11314006,NA,NA,NA,3916290,NA
"Angola","Other State Assistance",NA,NA,NA,NA,NA,185205,332823,65491,64669,NA
"Angola","Other USAID Assistance",NA,NA,17609296,NA,22215,13596,24560231,14646511,19055456,510220
"Angola","Title I",NA,NA,NA,NA,11107562,NA,27984232,NA,12933860,12764713
"Angola","Title II",3202292,10181287,25192409,19661670,62895180,60841876,65973293,45481727,44039794,42952747
"Antigua and Barbuda","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Economic Support Fund/Security Support Assistance",NA,371743,507222,1417813,395707,NA,NA,NA,NA,NA
"Argentina","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Narcotics Control",540146,612632,521714,1086045,420699,169951,NA,NA,NA,NA
"Argentina","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Other Active Grant Programs",955286,1046827,492730,748606,1157963,655329,494859,984992,3549897,724436
"Argentina","Other State Assistance",652033,532975,269552,420528,362586,115865,NA,98119,NA,30891
"Argentina","Other USAID Assistance",243837,743485,1086904,1559595,1648084,59823,NA,NA,NA,NA
"Argentina","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Peace Corps",NA,NA,705763,1176785,970523,NA,NA,NA,NA,NA
"Argentina","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Economic Support Fund/Security Support Assistance",NA,NA,NA,155959,NA,NA,NA,NA,NA,NA
"Armenia","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,654915,22332,20320
"Armenia","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,608653,9574
"Armenia","Other Food Aid Programs",NA,NA,NA,70008793,68487328,33146888,10854016,3592256,13360898,11658824
"Armenia","Other State Assistance",NA,NA,22390,35445,NA,124659,163618,70381,171987,493135
"Armenia","Other USAID Assistance",NA,NA,NA,NA,109434475,70050882,92993549,848769,75211691,90370336
"Armenia","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","Peace Corps",NA,NA,NA,1446170,1471752,1363683,1341856,1444742,1504208,1661966
"Armenia","Title I",NA,NA,33331727,56029919,34454633,39006479,NA,19647440,19400790,19147069
"Armenia","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,2698460
"Asia (not specified)","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,19599071
"Asia (not specified)","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,42440889
"Asia (not specified)","Economic Support Fund/Security Support Assistance",74202120,68451198,40577755,NA,1388445,NA,1376536,16044099,53233182,16730447
"Asia (not specified)","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,33404704,53634981,27788432,61935880
"Asia (not specified)","Narcotics Control",154327,148697,144921,52459,194382,280078,274774,392949,129339,255294
"Asia (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,355204,7581218
"Asia (not specified)","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Other USAID Assistance",88679566,106394224,116487140,65827661,34577840,34301452,23146348,78784923,101419572,NA
"Asia (not specified)","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Peace Corps",NA,NA,NA,NA,NA,NA,NA,1990941,NA,NA
"Asia (not specified)","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asia (not specified)","Voluntary Contributions to Multilateral Organizations, Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,284935192
"Australia","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Other USAID Assistance",NA,618580,360852,391317,NA,NA,NA,NA,NA,NA
"Austria","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,2267550,NA,NA,NA
"Azerbaijan","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,265144,1696135
"Azerbaijan","Other Food Aid Programs",NA,NA,NA,NA,30711571,15123417,7775894,2743507,6230013,10204929
"Azerbaijan","Other State Assistance",NA,NA,NA,178101,41653,391930,521320,732100,257225,NA
"Azerbaijan","Other USAID Assistance",NA,NA,NA,NA,29537784,13389381,7502922,2750642,31995784,28474244
"Azerbaijan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,5406749
"Bahamas, The","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","Narcotics Control",2345775,1784365,1449206,1714136,971912,951723,933697,1047863,646693,1276471
"Bahamas, The","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,1334,NA,NA,NA
"Bahamas, The","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","Other USAID Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,21062
"Bahrain","Other USAID Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,24026745
"Bangladesh","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,43750303
"Bangladesh","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,60789,769712
"Bangladesh","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Narcotics Control",NA,NA,28984,94994,30546,35350,NA,NA,24574,NA
"Bangladesh","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Other Active Grant Programs",NA,NA,NA,NA,NA,1178777,1121770,NA,568135,2900739
"Bangladesh","Other Food Aid Programs",NA,103493144,95407141,60174839,70265880,58361822,10003896,NA,1803329,155369190
"Bangladesh","Other State Assistance",93862,NA,NA,NA,NA,NA,NA,NA,NA,115918
"Bangladesh","Other USAID Assistance",85796732,73042963,82362697,50050233,60441797,30217201,17942988,55304923,76313656,NA
"Bangladesh","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,856222,1077342
"Bangladesh","Title I",74077115,NA,NA,NA,NA,72097087,NA,NA,11544117,NA
"Bangladesh","Title II",33694284,34888788,8373510,48414218,36203015,42856217,45604560,47017633,49429722,63626604
"Barbados","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","Narcotics Control",146611,364308,550698,1016572,719215,1359604,1507254,1984391,1142060,1704089
"Barbados","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","Other Active Grant Programs",66361,NA,1449,NA,116629,5438,NA,NA,NA,NA
"Barbados","Other USAID Assistance",NA,23792,NA,8507,NA,NA,NA,NA,NA,NA
"Barbados","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Department of Defense Security Assistance",NA,NA,NA,15094143,39500979,39962188,173401,NA,NA,NA
"Belarus","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Other Food Aid Programs",NA,NA,NA,106014112,NA,3884679,1443832,NA,NA,NA
"Belarus","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","Other USAID Assistance",NA,NA,NA,NA,32236921,3076784,4847221,NA,4132368,13164248
"Belarus","Title I",NA,NA,34780933,7089067,38182244,11638211,28553787,NA,NA,NA
"Belarus","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Narcotics Control",NA,NA,408676,467878,508171,462265,416162,NA,NA,229765
"Belgium","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Other USAID Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Narcotics Control",339520,297394,318825,422508,152729,NA,149392,458440,412590,702059
"Belize","Other Active Grant Programs",398164,417839,415922,511831,356830,353497,66693,NA,NA,NA
"Belize","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Other USAID Assistance",9739597,10834067,6738806,6805505,3049026,3533611,NA,NA,NA,NA
"Belize","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize","Peace Corps",2808757,2084733,1741945,1753835,1723061,1317456,1363198,1278393,1317960,1566230
"Belize","Title II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,15206602
"Benin","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,15154887
"Benin","Economic Support Fund/Security Support Assistance",NA,2017819,724603,NA,NA,NA,NA,NA,NA,127647
"Benin","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","Narcotics Control",7716,NA,NA,NA,NA,33990,NA,NA,NA,NA
"Benin","Other Active Grant Programs",314828,507057,663736,596899,1299585,1200530,1435226,297331,985560,695018
"Benin","Other Food Aid Programs",84880,80296,NA,1441916,NA,NA,NA,371664,NA,NA
"Benin","Other State Assistance",NA,328725,NA,NA,161307,NA,NA,NA,NA,181259
"Benin","Other USAID Assistance",1742355,30405572,13147192,24971948,28193769,21001805,13559947,16950501,22049645,NA
"Benin","Peace Corps",2240833,2719669,2375248,3200005,2565847,2061160,2239539,2251597,2311281,2783984
"Benin","Title II",3211552,2234917,2722188,4172483,3040140,3469302,4339690,2757191,3983888,2497161
"Bhutan","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","Title II",450636,402969,1272402,880037,NA,NA,NA,NA,NA,NA
"Bolivia","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,8316210
"Bolivia","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,35285495
"Bolivia","Economic Support Fund/Security Support Assistance",51565388,113753241,143948135,84289010,43034860,20462042,20541333,35365391,15520632,29358839
"Bolivia","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Millennium Challenge Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Narcotics Control",24229390,23345436,22752527,24102829,22353968,14955645,20007792,59597234,45268511,68929448
"Bolivia","Other Active Grant Programs",473785,1500353,1173856,1166860,1350957,895979,293448,1015118,3040350,1105088
"Bolivia","Other Food Aid Programs",NA,33308138,50201639,39215728,29896002,NA,NA,NA,NA,NA
"Bolivia","Other State Assistance",115745,115991,164630,173546,177443,628726,NA,NA,NA,NA
"Bolivia","Other USAID Assistance",38604980,35418150,40214004,38161867,27471777,22941960,20101162,32750972,51428909,NA
"Bolivia","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","Peace Corps",1242335,2053506,2447708,3070984,3046249,2572371,2794422,3154069,3233465,3340525
"Bolivia","Title I",30865465,NA,NA,NA,NA,NA,20007792,13098293,NA,12764713
"Bolivia","Title II",21345012,21335052,36439983,38072828,28232090,26547222,31944974,28584667,23926865,25604354
"Bosnia & Herzegovina","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,733619,NA,NA,NA
"Bosnia & Herzegovina","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,8730356,1914707
"Bosnia & Herzegovina","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia & Herzegovina","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,3478612,7296622,11867034,6668706
"Bosnia & Herzegovina","Narcotics Control",NA,NA,NA,NA,NA,NA,600234,NA,NA,NA
"Bosnia & Herzegovina","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,388016,10824476
"Bosnia & Herzegovina","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,4146001,5282582
"Bosnia & Herzegovina","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,1467981,12058916,7468857
"Bosnia & Herzegovina","Other State Assistance",NA,NA,NA,NA,227705,NA,731946,255174,626598,303228
"Bosnia & Herzegovina","Other USAID Assistance",NA,NA,NA,664955,NA,17185396,196051017,182776202,331643578,236753246
"Bosnia & Herzegovina","Peace Corps",NA,NA,NA,NA,NA,1762047,NA,NA,NA,NA
"Bosnia & Herzegovina","Title I",NA,NA,NA,NA,NA,NA,NA,NA,13572713,6483300
"Bosnia & Herzegovina","Title II",NA,NA,NA,NA,119782974,78808772,131176552,59744982,19378415,NA
"Botswana","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Economic Support Fund/Security Support Assistance",1186777,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Other Active Grant Programs",424400,477318,117386,524591,429030,358935,NA,NA,1312140,495356
"Botswana","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Other State Assistance",NA,239254,NA,113425,NA,NA,NA,NA,NA,NA
"Botswana","Other USAID Assistance",12778302,11772345,25429209,10833513,14645320,36408838,NA,NA,NA,NA
"Botswana","Peace Corps",4975513,5207371,4434569,3703329,3845993,3511857,2368923,1263985,150033,NA
"Botswana","Title II",561751,NA,1962659,842181,2357580,3097994,NA,NA,NA,NA
"Brazil","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,3867708
"Brazil","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,14527519
"Brazil","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Global HIV/AIDS Initiative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Narcotics Control",2932219,3717426,2173808,2197611,555378,1359604,386817,916881,646693,1531766
"Brazil","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Other Active Grant Programs",108029,496648,240568,1552506,2214570,1994539,17340,NA,3958546,3903027
"Brazil","Other Food Aid Programs",NA,904078,133327,NA,NA,NA,NA,NA,NA,NA
"Brazil","Other State Assistance",552680,406835,405444,525612,489432,NA,140835,NA,NA,292529
"Brazil","Other USAID Assistance",NA,NA,NA,5237403,8741651,9201801,6230426,9002457,21234812,NA
