"Country.Name","Program.Name","FY2010"
"Austria","Other USAID Assistance",NA
"Austria","Title I",NA
"Austria","Title II",NA
"Azerbaijan","Child Survival and Health",NA
"Azerbaijan","Department of Defense Security Assistance",NA
"Azerbaijan","Development Assistance",NA
"Azerbaijan","Economic Support Fund/Security Support Assistance",299492
"Azerbaijan","Global Health and Child Survival",1342000
"Azerbaijan","Migration and Refugee Assistance",NA
"Azerbaijan","Narcotics Control",804506
"Azerbaijan","Nonproliferation, Anti-Terrorism, Demining and Related",1212624
"Azerbaijan","Other Active Grant Programs",11322305
"Azerbaijan","Other Food Aid Programs",NA
"Azerbaijan","Other State Assistance",5705776
"Azerbaijan","Other USAID Assistance",28756254
"Azerbaijan","Other USDA Assistance",NA
"Azerbaijan","Peace Corps",2503400
"Azerbaijan","Title I",NA
"Azerbaijan","Title II",NA
"Bahamas, The","Department of Defense Security Assistance",122985
"Bahamas, The","Narcotics Control",636330
"Bahamas, The","Nonproliferation, Anti-Terrorism, Demining and Related",385374
"Bahamas, The","Other Active Grant Programs",6424484
"Bahamas, The","Other State Assistance",NA
"Bahamas, The","Other USAID Assistance",10000
"Bahamas, The","Peace Corps",NA
"Bahamas, The","Title II",NA
"Bahrain","Economic Support Fund/Security Support Assistance",NA
"Bahrain","Narcotics Control",30388
"Bahrain","Nonproliferation, Anti-Terrorism, Demining and Related",687750
"Bahrain","Other Active Grant Programs",NA
"Bahrain","Other State Assistance",39000
"Bahrain","Other USAID Assistance",NA
"Bahrain","Peace Corps",NA
"Bangladesh","Child Survival and Health",12195
"Bangladesh","Department of Defense Security Assistance",NA
"Bangladesh","Development Assistance",81982636
"Bangladesh","Economic Support Fund/Security Support Assistance",NA
"Bangladesh","Food For Education",4564554
"Bangladesh","Global Health and Child Survival",39406141
"Bangladesh","Migration and Refugee Assistance",1280514
"Bangladesh","Narcotics Control",5371250
"Bangladesh","Nonproliferation, Anti-Terrorism, Demining and Related",1933609
"Bangladesh","Other Active Grant Programs",12499099
"Bangladesh","Other Food Aid Programs",2619919
"Bangladesh","Other State Assistance",743250
"Bangladesh","Other USAID Assistance",18436584
"Bangladesh","Other USDA Assistance",28953
"Bangladesh","Peace Corps",NA
"Bangladesh","Title I",5138040
"Bangladesh","Title II",53231700
"Barbados","Department of Defense Security Assistance",15000
"Barbados","Global HIV/AIDS Initiative",NA
"Barbados","Narcotics Control",NA
"Barbados","Nonproliferation, Anti-Terrorism, Demining and Related",418728
"Barbados","Other Active Grant Programs",76181
"Barbados","Other USAID Assistance",NA
"Barbados","Other USDA Assistance",244
"Barbados","Title II",NA
"Belarus","Child Survival and Health",NA
"Belarus","Department of Defense Security Assistance",NA
"Belarus","Development Assistance",NA
"Belarus","Economic Support Fund/Security Support Assistance",NA
"Belarus","Migration and Refugee Assistance",NA
"Belarus","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Belarus","Other Active Grant Programs",22493550
"Belarus","Other Food Aid Programs",NA
"Belarus","Other State Assistance",4740896
"Belarus","Other USAID Assistance",13211076
"Belarus","Title I",NA
"Belarus","Title II",NA
"Belgium","Inactive Programs",NA
"Belgium","Migration and Refugee Assistance",NA
"Belgium","Millennium Challenge Corporation",NA
"Belgium","Narcotics Control",NA
"Belgium","Other Active Grant Programs",6625513
"Belgium","Other USAID Assistance",NA
"Belgium","Title II",NA
"Belize","Department of Defense Security Assistance",NA
"Belize","Economic Support Fund/Security Support Assistance",NA
"Belize","Global Health and Child Survival",17945
"Belize","Narcotics Control",2366800
"Belize","Other Active Grant Programs",1015997
"Belize","Other State Assistance",NA
"Belize","Other USAID Assistance",10000
"Belize","Other USDA Assistance",12500
"Belize","Peace Corps",2543300
"Belize","Title II",NA
"Benin","Child Survival and Health",NA
"Benin","Department of Defense Security Assistance",NA
"Benin","Development Assistance",6187236
"Benin","Economic Support Fund/Security Support Assistance",3586750
"Benin","Food For Education",NA
"Benin","Global HIV/AIDS Initiative",7550
"Benin","Global Health and Child Survival",30972060
"Benin","Migration and Refugee Assistance",NA
"Benin","Millennium Challenge Corporation",30721385
"Benin","Narcotics Control",NA
"Benin","Other Active Grant Programs",1895436
"Benin","Other Food Aid Programs",1278694
"Benin","Other State Assistance",NA
"Benin","Other USAID Assistance",3026413
"Benin","Peace Corps",4290700
"Benin","Title II",NA
"Bhutan","Food For Education",NA
"Bhutan","Other Active Grant Programs",296436
"Bhutan","Other USDA Assistance",25071
"Bhutan","Title II",NA
"Bolivia","Child Survival and Health",NA
"Bolivia","Development Assistance",42278150
"Bolivia","Economic Support Fund/Security Support Assistance",251824
"Bolivia","Food For Education",NA
"Bolivia","Global Health and Child Survival",10286708
"Bolivia","Inactive Programs",NA
"Bolivia","Millennium Challenge Corporation",50
"Bolivia","Narcotics Control",27510867
"Bolivia","Other Active Grant Programs",7882906
"Bolivia","Other Food Aid Programs",NA
"Bolivia","Other State Assistance",1330957
"Bolivia","Other USAID Assistance",7160322
"Bolivia","Other USDA Assistance",10863
"Bolivia","Peace Corps",556600
"Bolivia","Title I",NA
"Bolivia","Title II",NA
"Bosnia & Herzegovina","Child Survival and Health",NA
"Bosnia & Herzegovina","Department of Defense Security Assistance",NA
"Bosnia & Herzegovina","Development Assistance",2430247
"Bosnia & Herzegovina","Economic Support Fund/Security Support Assistance",1267437
"Bosnia & Herzegovina","Food For Education",NA
"Bosnia & Herzegovina","Migration and Refugee Assistance",1026368
"Bosnia & Herzegovina","Narcotics Control",6212990
"Bosnia & Herzegovina","Nonproliferation, Anti-Terrorism, Demining and Related",1322557
"Bosnia & Herzegovina","Other Active Grant Programs",1048147
"Bosnia & Herzegovina","Other Food Aid Programs",NA
"Bosnia & Herzegovina","Other State Assistance",1819985
"Bosnia & Herzegovina","Other USAID Assistance",31292870
"Bosnia & Herzegovina","Peace Corps",NA
"Bosnia & Herzegovina","Title I",NA
"Bosnia & Herzegovina","Title II",NA
"Botswana","Child Survival and Health",NA
"Botswana","Department of Defense Security Assistance",NA
"Botswana","Development Assistance",50000
"Botswana","Economic Support Fund/Security Support Assistance",NA
"Botswana","Global HIV/AIDS Initiative",2253507
"Botswana","Global Health and Child Survival",49541491
"Botswana","Narcotics Control",229619
"Botswana","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Botswana","Other Active Grant Programs",7362530
"Botswana","Other Food Aid Programs",NA
"Botswana","Other State Assistance",NA
"Botswana","Other USAID Assistance",NA
"Botswana","Peace Corps",1514200
"Botswana","Title II",NA
"Brazil","Child Survival and Health",NA
"Brazil","Development Assistance",12938417
"Brazil","Economic Support Fund/Security Support Assistance",NA
"Brazil","Global HIV/AIDS Initiative",NA
"Brazil","Global Health and Child Survival",5709482
"Brazil","Inactive Programs",NA
"Brazil","Migration and Refugee Assistance",NA
"Brazil","Narcotics Control",1949495
"Brazil","Nonproliferation, Anti-Terrorism, Demining and Related",1393085
"Brazil","Other Active Grant Programs",5652975
"Brazil","Other Food Aid Programs",NA
"Brazil","Other State Assistance",NA
"Brazil","Other USAID Assistance",3197586
"Brazil","Other USDA Assistance",353359
"Brazil","Peace Corps",NA
"Brazil","Title I",NA
"Brazil","Title II",NA
"Brunei","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Brunei","Other Active Grant Programs",9044
"Bulgaria","Child Survival and Health",NA
"Bulgaria","Department of Defense Security Assistance",NA
"Bulgaria","Development Assistance",9e+05
"Bulgaria","Economic Support Fund/Security Support Assistance",NA
"Bulgaria","Migration and Refugee Assistance",NA
"Bulgaria","Narcotics Control",112400
"Bulgaria","Nonproliferation, Anti-Terrorism, Demining and Related",8181
"Bulgaria","Other Active Grant Programs",9684869
"Bulgaria","Other Food Aid Programs",NA
"Bulgaria","Other State Assistance",NA
"Bulgaria","Other USAID Assistance",62000
"Bulgaria","Peace Corps",3709300
"Bulgaria","Title I",NA
"Bulgaria","Title II",NA
"Burkina Faso","Child Survival and Health",NA
"Burkina Faso","Department of Defense Security Assistance",NA
"Burkina Faso","Development Assistance",1e+05
"Burkina Faso","Economic Support Fund/Security Support Assistance",NA
"Burkina Faso","Food For Education",NA
"Burkina Faso","Global Health and Child Survival",6e+06
"Burkina Faso","Migration and Refugee Assistance",NA
"Burkina Faso","Millennium Challenge Corporation",7179884
"Burkina Faso","Narcotics Control",95000
"Burkina Faso","Nonproliferation, Anti-Terrorism, Demining and Related",456096
"Burkina Faso","Other Active Grant Programs",5388151
"Burkina Faso","Other Food Aid Programs",985965
"Burkina Faso","Other State Assistance",4e+05
"Burkina Faso","Other USAID Assistance",654800
"Burkina Faso","Other USDA Assistance",42000
"Burkina Faso","Peace Corps",4303200
"Burkina Faso","Title II",11968600
"Burma (Myanmar)","Child Survival and Health",NA
"Burma (Myanmar)","Department of Defense Security Assistance",NA
"Burma (Myanmar)","Development Assistance",NA
"Burma (Myanmar)","Economic Support Fund/Security Support Assistance",22935889
"Burma (Myanmar)","Global Health and Child Survival",1024435
"Burma (Myanmar)","Inactive Programs",NA
"Burma (Myanmar)","Migration and Refugee Assistance",NA
"Burma (Myanmar)","Narcotics Control",NA
"Burma (Myanmar)","Other Active Grant Programs",205577
"Burma (Myanmar)","Other State Assistance",4575434
"Burma (Myanmar)","Other USAID Assistance",784235
"Burma (Myanmar)","Title I",NA
"Burma (Myanmar)","Title II",125000
"Burundi","Child Survival and Health",NA
"Burundi","Department of Defense Security Assistance",16000
"Burundi","Development Assistance",12230368
"Burundi","Economic Support Fund/Security Support Assistance",2393928
"Burundi","Global Health and Child Survival",11960000
"Burundi","Migration and Refugee Assistance",10892397
"Burundi","Narcotics Control",NA
"Burundi","Nonproliferation, Anti-Terrorism, Demining and Related",4e+05
"Burundi","Other Active Grant Programs",1566104
"Burundi","Other Food Aid Programs",NA
"Burundi","Other State Assistance",336532
"Burundi","Other USAID Assistance",383593
"Burundi","Peace Corps",NA
"Burundi","Title I",NA
"Burundi","Title II",11810700
"Cambodia","Child Survival and Health",14
"Cambodia","Department of Defense Security Assistance",NA
"Cambodia","Development Assistance",19982028
"Cambodia","Economic Support Fund/Security Support Assistance",9941701
"Cambodia","Food For Education",4774264
"Cambodia","Global HIV/AIDS Initiative",NA
"Cambodia","Global Health and Child Survival",35316097
"Cambodia","Migration and Refugee Assistance",NA
"Cambodia","Narcotics Control",NA
"Cambodia","Nonproliferation, Anti-Terrorism, Demining and Related",5127694
"Cambodia","Other Active Grant Programs",5986405
"Cambodia","Other Food Aid Programs",710137
"Cambodia","Other State Assistance",207913
"Cambodia","Other USAID Assistance",6754147
"Cambodia","Other USDA Assistance",139590
"Cambodia","Peace Corps",1767300
"Cambodia","Title I",NA
"Cambodia","Title II",NA
"Cameroon","Child Survival and Health",NA
"Cameroon","Department of Defense Security Assistance",2e+05
"Cameroon","Development Assistance",95000
"Cameroon","Economic Support Fund/Security Support Assistance",NA
"Cameroon","Food For Education",997570
"Cameroon","Global HIV/AIDS Initiative",NA
"Cameroon","Global Health and Child Survival",2302233
"Cameroon","Migration and Refugee Assistance",5081000
"Cameroon","Narcotics Control",5e+05
"Cameroon","Other Active Grant Programs",3762088
"Cameroon","Other Food Aid Programs",819885
"Cameroon","Other State Assistance",158337
"Cameroon","Other USAID Assistance",50000
"Cameroon","Peace Corps",4411700
"Cameroon","Title I",NA
"Cameroon","Title II",3859800
"Canada","Inactive Programs",NA
"Canada","Other Active Grant Programs",25774965
"Cape Verde","Development Assistance",30000
"Cape Verde","Economic Support Fund/Security Support Assistance",NA
"Cape Verde","Millennium Challenge Corporation",2566547
"Cape Verde","Narcotics Control",500052
"Cape Verde","Other Active Grant Programs",1200894
"Cape Verde","Other Food Aid Programs",NA
"Cape Verde","Other State Assistance",NA
"Cape Verde","Other USAID Assistance",125000
"Cape Verde","Peace Corps",1927200
"Cape Verde","Title II",NA
"Caribbean (not specified)","Child Survival and Health",NA
"Caribbean (not specified)","Department of Defense Security Assistance",NA
"Caribbean (not specified)","Development Assistance",14818000
"Caribbean (not specified)","Economic Support Fund/Security Support Assistance",1523750
"Caribbean (not specified)","Global HIV/AIDS Initiative",46376
"Caribbean (not specified)","Global Health and Child Survival",17808099
"Caribbean (not specified)","Migration and Refugee Assistance",4e+05
"Caribbean (not specified)","Narcotics Control",7837388
"Caribbean (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Caribbean (not specified)","Other Active Grant Programs",2695128
"Caribbean (not specified)","Other Food Aid Programs",NA
"Caribbean (not specified)","Other USAID Assistance",1574437
"Caribbean (not specified)","Other USDA Assistance",216854
"Caribbean (not specified)","Peace Corps",3270800
"Caribbean (not specified)","Title II",1750000
"Caribbean (not specified)","Voluntary Contributions to Multilateral Organizations, Total",NA
"Central African Republic","Department of Defense Security Assistance",4200
"Central African Republic","Development Assistance",70000
"Central African Republic","Economic Support Fund/Security Support Assistance",169745
"Central African Republic","Migration and Refugee Assistance",8475000
"Central African Republic","Other Active Grant Programs",562503
"Central African Republic","Other Food Aid Programs",NA
"Central African Republic","Other State Assistance",2845527
"Central African Republic","Other USAID Assistance",NA
"Central African Republic","Peace Corps",NA
"Central African Republic","Title I",NA
"Central African Republic","Title II",6194500
"Central African Republic","Voluntary Contributions to Multilateral Organizations, Total",NA
"Central America (not specified)","Child Survival and Health",NA
"Central America (not specified)","Department of Defense Security Assistance",NA
"Central America (not specified)","Development Assistance",33126333
"Central America (not specified)","Economic Support Fund/Security Support Assistance",2374976
"Central America (not specified)","Global HIV/AIDS Initiative",NA
"Central America (not specified)","Global Health and Child Survival",9088311
"Central America (not specified)","Inactive Programs",NA
"Central America (not specified)","Migration and Refugee Assistance",1064660
"Central America (not specified)","Narcotics Control",65969539
"Central America (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Central America (not specified)","Other Active Grant Programs",1970147
"Central America (not specified)","Other Food Aid Programs",NA
"Central America (not specified)","Other State Assistance",1250000
"Central America (not specified)","Other USAID Assistance",746893
"Central America (not specified)","Other USDA Assistance",30000
"Central America (not specified)","Title II",NA
"Chad","Development Assistance",563000
"Chad","Economic Support Fund/Security Support Assistance",NA
"Chad","Food For Education",2698546
"Chad","Global HIV/AIDS Initiative",2170
"Chad","Migration and Refugee Assistance",49877383
"Chad","Narcotics Control",4e+05
"Chad","Nonproliferation, Anti-Terrorism, Demining and Related",926887
"Chad","Other Active Grant Programs",2104405
"Chad","Other Food Aid Programs",3107000
"Chad","Other State Assistance",124522
"Chad","Other USAID Assistance",8624870
"Chad","Peace Corps",NA
"Chad","Title II",103030300
"Chile","Department of Defense Security Assistance",1120000
"Chile","Economic Support Fund/Security Support Assistance",NA
"Chile","Inactive Programs",NA
"Chile","Migration and Refugee Assistance",NA
"Chile","Narcotics Control",1330
"Chile","Nonproliferation, Anti-Terrorism, Demining and Related",448101
"Chile","Other Active Grant Programs",15545405
"Chile","Other Food Aid Programs",NA
"Chile","Other State Assistance",NA
"Chile","Other USAID Assistance",8873542
"Chile","Other USDA Assistance",16620
"Chile","Peace Corps",NA
"Chile","Title I",NA
"Chile","Title II",NA
"China (Hong Kong)","Millennium Challenge Corporation",NA
"China (Hong Kong)","Other Active Grant Programs",124638
"China (Hong Kong)","Other State Assistance",1466909
"China (Hong Kong)","Other USAID Assistance",NA
"China (Hong Kong)","Title II",NA
"China (P.R.C.)","Child Survival and Health",NA
"China (P.R.C.)","Department of Defense Security Assistance",NA
"China (P.R.C.)","Development Assistance",6441473
"China (P.R.C.)","Economic Support Fund/Security Support Assistance",7832340
"China (P.R.C.)","Global HIV/AIDS Initiative",NA
"China (P.R.C.)","Global Health and Child Survival",6658943
"China (P.R.C.)","Migration and Refugee Assistance",NA
"China (P.R.C.)","Narcotics Control",1381022
"China (P.R.C.)","Nonproliferation, Anti-Terrorism, Demining and Related",7400
"China (P.R.C.)","Other Active Grant Programs",35600087
"China (P.R.C.)","Other Food Aid Programs",NA
"China (P.R.C.)","Other State Assistance",32008628
"China (P.R.C.)","Other USAID Assistance",2381516
"China (P.R.C.)","Other USDA Assistance",455727
"China (P.R.C.)","Peace Corps",2335100
"China (P.R.C.)","Title II",NA
"China (Taiwan)","Development Assistance",1800000
"China (Taiwan)","Economic Support Fund/Security Support Assistance",NA
"China (Taiwan)","Inactive Programs",NA
"China (Taiwan)","Narcotics Control",NA
"China (Taiwan)","Nonproliferation, Anti-Terrorism, Demining and Related",574829
"China (Taiwan)","Other Active Grant Programs",20608295
"China (Taiwan)","Other USAID Assistance",NA
"China (Taiwan)","Other USDA Assistance",15000
"China (Taiwan)","Title I",NA
"China (Taiwan)","Title II",NA
"Colombia","Child Survival and Health",NA
"Colombia","Department of Defense Security Assistance",175000
"Colombia","Development Assistance",3202567
"Colombia","Economic Support Fund/Security Support Assistance",220660510
"Colombia","Food For Education",NA
"Colombia","Global Health and Child Survival",NA
"Colombia","Inactive Programs",NA
"Colombia","Migration and Refugee Assistance",19070331
"Colombia","Millennium Challenge Corporation",471
"Colombia","Narcotics Control",403099367
"Colombia","Nonproliferation, Anti-Terrorism, Demining and Related",4938031
"Colombia","Other Active Grant Programs",4778079
"Colombia","Other Food Aid Programs",NA
"Colombia","Other State Assistance",2475000
"Colombia","Other USAID Assistance",10272582
"Colombia","Other USDA Assistance",244
"Colombia","Peace Corps",696000
"Colombia","Title I",NA
"Colombia","Title II",8535600
"Comoros","Department of Defense Security Assistance",50000
"Comoros","Development Assistance",59994
"Comoros","Economic Support Fund/Security Support Assistance",550000
"Comoros","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Comoros","Other State Assistance",80035
"Comoros","Other USAID Assistance",NA
"Comoros","Peace Corps",NA
"Comoros","Title II",NA
"Congo (Brazzaville)","Child Survival and Health",NA
"Congo (Brazzaville)","Department of Defense Security Assistance",NA
"Congo (Brazzaville)","Development Assistance",60000
"Congo (Brazzaville)","Economic Support Fund/Security Support Assistance",150000
"Congo (Brazzaville)","Food For Education",NA
"Congo (Brazzaville)","Global Health and Child Survival",NA
"Congo (Brazzaville)","Migration and Refugee Assistance",6800000
"Congo (Brazzaville)","Narcotics Control",3e+05
"Congo (Brazzaville)","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Congo (Brazzaville)","Other Active Grant Programs",1846570
"Congo (Brazzaville)","Other Food Aid Programs",2449128
"Congo (Brazzaville)","Other State Assistance",25000
"Congo (Brazzaville)","Other USAID Assistance",NA
"Congo (Brazzaville)","Peace Corps",NA
"Congo (Brazzaville)","Title I",NA
"Congo (Brazzaville)","Title II",4362000
"Congo (Kinshasa)","Child Survival and Health",6290
"Congo (Kinshasa)","Department of Defense Security Assistance",NA
"Congo (Kinshasa)","Development Assistance",10592598
"Congo (Kinshasa)","Economic Support Fund/Security Support Assistance",51888059
"Congo (Kinshasa)","Food For Education",NA
"Congo (Kinshasa)","Global HIV/AIDS Initiative",NA
"Congo (Kinshasa)","Global Health and Child Survival",96357442
"Congo (Kinshasa)","Migration and Refugee Assistance",45720471
"Congo (Kinshasa)","Narcotics Control",5150151
"Congo (Kinshasa)","Nonproliferation, Anti-Terrorism, Demining and Related",922831
"Congo (Kinshasa)","Other Active Grant Programs",10212951
"Congo (Kinshasa)","Other Food Aid Programs",NA
"Congo (Kinshasa)","Other State Assistance",2089772
"Congo (Kinshasa)","Other USAID Assistance",32416141
"Congo (Kinshasa)","Peace Corps",NA
"Congo (Kinshasa)","Title I",NA
"Congo (Kinshasa)","Title II",103567200
"Costa Rica","Development Assistance",8e+05
"Costa Rica","Economic Support Fund/Security Support Assistance",7255
"Costa Rica","Inactive Programs",NA
"Costa Rica","Migration and Refugee Assistance",NA
"Costa Rica","Narcotics Control",2115000
"Costa Rica","Other Active Grant Programs",1771021
"Costa Rica","Other Food Aid Programs",NA
"Costa Rica","Other State Assistance",25000
"Costa Rica","Other USAID Assistance",2091615
"Costa Rica","Peace Corps",2773300
"Costa Rica","Title I",NA
"Costa Rica","Title II",NA
"Cote d'Ivoire","Child Survival and Health",NA
"Cote d'Ivoire","Development Assistance",70000
"Cote d'Ivoire","Economic Support Fund/Security Support Assistance",NA
"Cote d'Ivoire","Food For Education",NA
"Cote d'Ivoire","Global HIV/AIDS Initiative",3674
"Cote d'Ivoire","Global Health and Child Survival",65227646
"Cote d'Ivoire","Migration and Refugee Assistance",2700000
"Cote d'Ivoire","Narcotics Control",NA
"Cote d'Ivoire","Nonproliferation, Anti-Terrorism, Demining and Related",75000
"Cote d'Ivoire","Other Active Grant Programs",8234689
"Cote d'Ivoire","Other Food Aid Programs",NA
"Cote d'Ivoire","Other State Assistance",1866112
"Cote d'Ivoire","Other USAID Assistance",350000
"Cote d'Ivoire","Peace Corps",NA
"Cote d'Ivoire","Title I",NA
"Cote d'Ivoire","Title II",NA
"Croatia","Child Survival and Health",NA
"Croatia","Department of Defense Security Assistance",NA
"Croatia","Development Assistance",NA
"Croatia","Economic Support Fund/Security Support Assistance",NA
"Croatia","Migration and Refugee Assistance",NA
"Croatia","Narcotics Control",105000
"Croatia","Nonproliferation, Anti-Terrorism, Demining and Related",350674
"Croatia","Other Active Grant Programs",3916121
"Croatia","Other State Assistance",14450
"Croatia","Other USAID Assistance",NA
"Croatia","Title I",NA
"Croatia","Title II",NA
"Cuba","Development Assistance",NA
"Cuba","Economic Support Fund/Security Support Assistance",11055148
"Cuba","Inactive Programs",NA
"Cuba","Migration and Refugee Assistance",594821
"Cuba","Other Active Grant Programs",333
"Cuba","Other State Assistance",2449340
"Cuba","Other USAID Assistance",803058
"Cuba","Title II",NA
"Cyprus","Development Assistance",NA
"Cyprus","Economic Support Fund/Security Support Assistance",14720368
"Cyprus","Narcotics Control",NA
"Cyprus","Nonproliferation, Anti-Terrorism, Demining and Related",50000
"Cyprus","Other Active Grant Programs",169555
"Cyprus","Other USAID Assistance",532516
"Cyprus","Peace Corps",NA
"Cyprus","Title I",NA
"Cyprus","Title II",NA
"Czech Republic","Narcotics Control",NA
"Czech Republic","Nonproliferation, Anti-Terrorism, Demining and Related",3658
"Czech Republic","Other Active Grant Programs",18885331
"Czech Republic","Other State Assistance",NA
"Czech Republic","Other USAID Assistance",NA
"Czech Republic","Peace Corps",NA
"Denmark","Inactive Programs",NA
"Denmark","Other Active Grant Programs",142422
"Denmark","Other USAID Assistance",NA
"Denmark","Title II",NA
"Djibouti","Child Survival and Health",NA
"Djibouti","Department of Defense Security Assistance",NA
"Djibouti","Development Assistance",6592000
"Djibouti","Economic Support Fund/Security Support Assistance",156054
"Djibouti","Global HIV/AIDS Initiative",NA
"Djibouti","Global Health and Child Survival",458760
"Djibouti","Migration and Refugee Assistance",1150000
"Djibouti","Narcotics Control",285000
"Djibouti","Nonproliferation, Anti-Terrorism, Demining and Related",691305
"Djibouti","Other Active Grant Programs",7298858
"Djibouti","Other Food Aid Programs",NA
"Djibouti","Other State Assistance",350000
"Djibouti","Other USAID Assistance",1643330
"Djibouti","Title II",1984800
"Dominica","Other Active Grant Programs",166
"Dominica","Other State Assistance",NA
"Dominica","Other USAID Assistance",NA
